FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUG
./scikit-learn/setup.py;559;47;70;9;2;0.89;3.0;3;2;48;13;1
./scikit-learn/build_tools\generate_authors_table.py;210;15;42;6;0;0.83;0.0;0;1;21;10;0
./scikit-learn/build_tools\get_comment.py;308;27;48;6;0;3.83;0.0;2;2;26;14;0
./scikit-learn/build_tools\update_environments_and_lock_files.py;671;28;75;18;0;1.5;0.0;3;0;23;10;0
./scikit-learn/build_tools\circle\list_versions.py;98;10;20;4;0;1.25;0.0;1;1;24;11;0
./scikit-learn/build_tools\github\vendor.py;74;2;22;2;0;2.0;0.0;3;0;7;8;0
./scikit-learn/maint_tools\sort_whats_new.py;34;4;9;1;0;1.0;0.0;0;0;8;9;0
./scikit-learn/sklearn\calibration.py;1164;58;244;20;4;2.9;3.75;4;0;45;15;0
./scikit-learn/sklearn\discriminant_analysis.py;871;42;190;20;2;2.85;8.5;10;0;50;12;0
./scikit-learn/sklearn\dummy.py;569;13;131;12;2;2.42;6.0;8;0;54;15;0
./scikit-learn/sklearn\isotonic.py;399;37;99;14;1;2.14;12.0;1;0;24;11;0
./scikit-learn/sklearn\kernel_approximation.py;891;22;211;23;5;1.91;4.6;5;1;43;16;0
./scikit-learn/sklearn\kernel_ridge.py;196;4;41;5;1;2.4;5.0;0;0;9;11;0
./scikit-learn/sklearn\random_projection.py;632;10;179;17;3;2.24;4.0;7;0;20;12;0
./scikit-learn/sklearn\_config.py;296;2;77;4;0;2.5;0.0;0;0;13;8;0
./scikit-learn/sklearn\__init__.py;152;68;20;1;0;1.0;0.0;0;2;5;9;0
./scikit-learn/sklearn\cluster\_affinity_propagation.py;500;26;104;10;1;1.4;5.0;2;0;32;13;0
./scikit-learn/sklearn\cluster\_bicluster.py;519;10;105;18;3;2.61;4.67;5;2;24;12;0
./scikit-learn/sklearn\cluster\_birch.py;615;46;126;21;3;2.0;6.33;1;0;37;11;0
